num_ubers,num_cummters,total_Uber_naive_cost,total_Uber_scheduled_cost,total_Uber_distance,total_Uber_energy,total_Uber_naive_energy_charged,total_Uber_scheduled_energy_charged,total_Uber_naive_time_plugged_in,total_Uber_scheduled_time_plugged_in,total_Commuter_naive_cost,total_Commuter_scheduled_cost,total_Commuter_distance,total_Commuter_energy,total_Commuter_naive_energy_charged,total_Commuter_scheduled_energy_charged,total_Commuter_naive_time_plugged_in,total_Commuter_scheduled_time_plugged_in
1.040000000000000000e+02,8.960000000000000000e+02,1.748657439963090781e+02,7.506680631494587885e+01,4.615471037843748345e+05,2.193286118195522249e+03,1.671659564234154004e+03,5.216265539613689270e+02,1.649446082014624722e+02,1.039000000000000000e+03,5.322310599630741308e+02,3.013943358466996756e+02,2.187668886130497867e+03,4.508145434093296899e+03,2.549154583782797090e+03,1.958990850310499354e+03,2.362370807965154427e+02,6.947000000000000000e+03
9.800000000000000000e+01,9.020000000000000000e+02,2.597272130611187890e+02,1.198193639906505226e+01,4.487772099933072459e+05,2.097797477891374001e+03,1.907255861447949883e+03,1.905416164434239761e+02,1.796051198249927552e+02,1.002000000000000000e+03,4.846697806827137924e+02,2.296239246916748016e+02,2.926367531878263435e+03,3.969031917745298870e+03,2.213644224746497457e+03,1.755387692998802322e+03,2.041673000317867945e+02,8.729000000000000000e+03
9.800000000000000000e+01,9.020000000000000000e+02,3.334938876853254897e+02,7.808155707252737443e+01,4.367918313522858080e+05,2.544323520921165255e+03,2.001575553939919473e+03,5.427479669812458951e+02,1.905000435650109694e+02,1.803000000000000000e+03,4.703303672835793350e+02,2.230939068507312584e+02,2.205982891586224014e+03,3.837577100533347220e+03,2.163238522719906541e+03,1.674338577813439997e+03,1.998482592672218061e+02,8.733000000000000000e+03
9.600000000000000000e+01,9.040000000000000000e+02,2.278887152135636995e+02,2.130122312614659563e+01,5.709509963411344215e+05,2.453726633836035035e+03,2.198310105434806701e+03,2.554165284012282200e+02,2.045992187336286463e+02,9.450000000000000000e+02,3.461990260705542255e+02,3.346346540885884338e+02,1.304285095540838711e+03,3.836852288447566934e+03,1.663886405088458332e+03,2.172965883359108375e+03,1.689224538049767830e+02,9.701000000000000000e+03
9.300000000000000000e+01,9.070000000000000000e+02,1.729826804847409676e+02,2.379167501121935047e+01,4.107175382597848657e+05,2.049837254128260611e+03,1.827213455352456322e+03,2.226237987758035786e+02,1.668877321922000760e+02,1.055000000000000000e+03,3.828677968862418766e+02,2.395044765029968232e+02,2.875135086624681207e+03,3.787929918136085689e+03,2.007677948381536225e+03,1.780251969754549236e+03,1.801676173871758238e+02,5.611000000000000000e+03
1.040000000000000000e+02,8.960000000000000000e+02,3.292721363400463588e+02,2.654610614007164671e+01,4.603879035160280182e+05,2.503579430998949647e+03,2.226336672458512112e+03,2.772427585404377623e+02,2.041827248638410310e+02,1.529000000000000000e+03,4.562905323336259471e+02,3.491246912887419853e+02,1.856126573499716415e+03,4.018999595024033624e+03,2.104865251106858977e+03,1.914134343917175102e+03,1.932011757274889590e+02,8.121000000000000000e+03
9.000000000000000000e+01,9.100000000000000000e+02,2.376413371800698826e+02,8.684572328966598320e+01,4.651095064817917300e+05,2.277547389471221322e+03,1.829834145054906003e+03,4.477132444163158311e+02,1.687452436399905764e+02,1.556000000000000000e+03,3.708265908373838329e+02,3.453162110978464625e+02,2.142117555051655472e+03,3.710977092152177192e+03,1.843852455867188610e+03,1.867124636284988128e+03,1.685171623599551367e+02,5.275000000000000000e+03
1.050000000000000000e+02,8.950000000000000000e+02,2.907838056535411511e+02,3.679232300168524716e+01,4.869207142467644298e+05,2.617229306521945546e+03,2.188240138640737769e+03,4.289891678812064697e+02,2.149887995858247791e+02,1.556000000000000000e+03,3.843047946411264775e+02,3.378186982576017954e+02,1.993991430572293439e+03,4.191278984079307520e+03,1.942909203690214326e+03,2.248369780389093648e+03,1.818923610050838988e+02,8.932000000000000000e+03
1.140000000000000000e+02,8.860000000000000000e+02,2.434340851985151062e+02,4.168286675879689085e+01,5.148029975030376809e+05,2.442394635444970845e+03,2.034092750733178946e+03,4.083018847117920700e+02,1.806881708706850418e+02,1.991000000000000000e+03,4.239363554080956646e+02,3.977911441789481160e+02,2.119574140196477401e+03,3.664277430830384674e+03,1.722600575082771911e+03,1.941676855747611626e+03,1.659858838865235100e+02,7.926000000000000000e+03
1.040000000000000000e+02,8.960000000000000000e+02,1.902143682913724945e+02,4.034526296374772869e+01,4.360487860715459683e+05,2.100435917606076146e+03,1.701920082530162517e+03,3.985158350759129462e+02,1.559669942367093256e+02,1.374000000000000000e+03,4.526199722122058233e+02,3.474095742424613036e+02,2.133421997459589420e+03,4.400327037989952260e+03,2.257933716914455999e+03,2.142393321075498079e+03,2.057436052508904254e+02,7.510000000000000000e+03
