Date,Hour Ending,Location ID,Location Name,Location Type,Day Ahead,Real Time
8.1.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,80.62,64.27
8.1.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,75.82,60.37
8.1.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,67.79,59.61
8.1.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,67.92,60.62
8.1.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,67.96,62.31
8.1.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,68.9,64.08
8.1.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,79.53,61.58
8.1.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,77.12,62.04
8.1.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,90.22,69.07
8.1.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,86.48,66.44
8.1.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,118.09,63.39
8.1.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.61,63.51
8.1.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.44,66.58
8.1.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,105.09,71.67
8.1.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,113.18,69.59
8.1.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,123.15,68.71
8.1.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,131.97,64.93
8.1.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,144.3,64.22
8.1.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,136.77,68.01
8.1.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,120.55,74.15
8.1.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,113.75,73.27
8.1.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.9,65.65
8.1.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.81,60.7
8.1.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,81.62,57.24
8.2.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,73.28,57.09
8.2.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,62.86,57.17
8.2.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,61.92,56.4
8.2.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,61.33,56.41
8.2.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,59.04,55.52
8.2.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,63.37,55.07
8.2.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,88.83,56.13
8.2.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,98.75,58.85
8.2.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,92.68,62.03
8.2.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,96.39,59.53
8.2.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,88.77,61.2
8.2.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,95.97,61.65
8.2.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,95.75,75.26
8.2.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,106.88,106.52
8.2.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,119.02,113.19
