num_ubers,num_cummters,total_Uber_naive_cost,total_Uber_scheduled_cost,total_Uber_distance,total_Uber_energy,total_Uber_naive_energy_charged,total_Uber_scheduled_energy_charged,total_Uber_naive_time_plugged_in,total_Uber_scheduled_time_plugged_in,total_Commuter_naive_cost,total_Commuter_scheduled_cost,total_Commuter_distance,total_Commuter_energy,total_Commuter_naive_energy_charged,total_Commuter_scheduled_energy_charged,total_Commuter_naive_time_plugged_in,total_Commuter_scheduled_time_plugged_in
9.500000000000000000e+01,9.050000000000000000e+02,2.358044721071041181e+02,9.049667841125142331e+01,4.234226462292800425e+05,2.367283676474329695e+03,1.907028364521247795e+03,4.602553119530823551e+02,1.779347550716975661e+02,5.370000000000000000e+02,4.999305610202344496e+02,4.230502601085411811e+02,2.602122804025215373e+03,5.259593422105682293e+03,2.392912068982905566e+03,2.866681353122776272e+03,2.229737989902302502e+02,1.353500000000000000e+04
1.140000000000000000e+02,8.860000000000000000e+02,2.983557183566390449e+02,9.355732123120610311e+01,4.663266921566338278e+05,2.773130471115408454e+03,2.041685909221653901e+03,7.314445618937551217e+02,1.936688235716200666e+02,4.141000000000000000e+03,3.917991980602096760e+02,2.925198052795525427e+02,2.332573474687612361e+03,3.877029787839276651e+03,1.979947907198137273e+03,1.897081880641139605e+03,1.915212143508578322e+02,9.391000000000000000e+03
9.400000000000000000e+01,9.060000000000000000e+02,2.573041094034467164e+02,4.474961339448792330e+01,4.524107790204267367e+05,2.305842527838408387e+03,1.935279284957750633e+03,3.705632428806586063e+02,1.737310414140691535e+02,7.910000000000000000e+02,4.005854444027659724e+02,3.073697805485493291e+02,1.256969577006660074e+03,3.414416829718870758e+03,1.772366176403459804e+03,1.642050653315411864e+03,1.533921142247526177e+02,5.259000000000000000e+03
9.100000000000000000e+01,9.090000000000000000e+02,2.529946081876217647e+02,4.626690851144028471e+01,4.511772258104253560e+05,2.051583745069387533e+03,1.771851636375094813e+03,2.797321086942923216e+02,1.547786104998561143e+02,9.450000000000000000e+02,4.178475034861546078e+02,3.322392201690551587e+02,1.893739912592924384e+03,3.729784561300702080e+03,1.881879208998188915e+03,1.847905352302514075e+03,1.833464902897502782e+02,5.911000000000000000e+03
1.040000000000000000e+02,8.960000000000000000e+02,2.961264209485381116e+02,4.198102998962186660e+01,4.431698271306738025e+05,2.388887262416711110e+03,2.002743814247154660e+03,3.861434481695563932e+02,1.836717837664759543e+02,1.488000000000000000e+03,3.450233626723203315e+02,3.406407852088174764e+02,1.709769067529966151e+03,3.682331996940900353e+03,1.653520329678110102e+03,2.028811667262789797e+03,1.636993931818977615e+02,8.285000000000000000e+03
1.100000000000000000e+02,8.900000000000000000e+02,3.114427782693320523e+02,3.919727921729182896e+01,4.903200798595519154e+05,2.796819180879231226e+03,2.374869358822188588e+03,4.219498220570438320e+02,2.120878538743855586e+02,1.790000000000000000e+03,4.503056018666977707e+02,3.709146780759502917e+02,1.651448620467320097e+03,4.276763353653610466e+03,2.020954084536968821e+03,2.255809269116643463e+03,1.893213436030758601e+02,9.284000000000000000e+03
9.800000000000000000e+01,9.020000000000000000e+02,2.580020006977890148e+02,6.679823388494980918e+01,4.480319901708582183e+05,2.466983702535586872e+03,1.990462287679051769e+03,4.765214148565359551e+02,1.783218147639840936e+02,1.873000000000000000e+03,4.117683128441913141e+02,2.967282205418992476e+02,2.953387925333689964e+03,3.943440807488343580e+03,2.145318934851923586e+03,1.798121872636420221e+03,1.972923996784434166e+02,7.584000000000000000e+03
8.800000000000000000e+01,9.120000000000000000e+02,2.351369582164635403e+02,6.162036368234387140e+01,4.870409710634533549e+05,2.152900920962052169e+03,1.719832989848639500e+03,4.330679311134115892e+02,1.563516699336633451e+02,1.579000000000000000e+03,5.006721344648167360e+02,4.148688989509993235e+02,3.456693100578194844e+03,5.350877094152046993e+03,2.556315271808959551e+03,2.794561822343084714e+03,2.356099058990417348e+02,1.326700000000000000e+04
9.500000000000000000e+01,9.050000000000000000e+02,2.423621714274638634e+02,6.893540753820782641e+01,4.419125066315490985e+05,2.410298448403706971e+03,1.907779912965458152e+03,5.025185354382491028e+02,1.817404219801503871e+02,1.961000000000000000e+03,4.637702693136656649e+02,3.459506993367302243e+02,1.920560050115612512e+03,4.130798622250290464e+03,2.127889761824116704e+03,2.002908860426174897e+03,2.054756624928520239e+02,6.742000000000000000e+03
9.800000000000000000e+01,9.020000000000000000e+02,2.669722248211247688e+02,4.482359458980155864e+01,4.577096750826323405e+05,2.027405315412568143e+03,1.713560160256281506e+03,3.138451551562866371e+02,1.699099026621847202e+02,1.276000000000000000e+03,4.289644858112650923e+02,3.799088366366705714e+02,2.188972777357856558e+03,4.428267025224368808e+03,2.189615526632243473e+03,2.238651498592128064e+03,2.035964682375019663e+02,9.253000000000000000e+03
